file_path,data,model,strategy,workflow,rl,run,tests,utils,contrib,best_module,best_likelihood
backtest\report.py,0.00,0.00,5.00,10.00,0.00,0.00,5.00,10.00,70.00,contrib,70.00
backtest\account.py,0.00,0.00,90.00,5.00,0.00,0.00,0.00,5.00,0.00,strategy,90.00
backtest\backtest.py,0.00,0.00,10.00,85.00,0.00,0.00,0.00,5.00,0.00,workflow,85.00
backtest\decision.py,1.00,1.00,95.00,1.00,0.00,0.00,0.00,1.00,1.00,strategy,95.00
backtest\high_performance_ds.py,90.00,0.00,1.00,0.00,0.00,1.00,0.00,7.00,1.00,data,90.00
backtest\exchange.py,2.00,0.00,90.00,5.00,0.00,0.00,0.00,3.00,0.00,strategy,90.00
backtest\signal.py,10.00,20.00,85.00,5.00,0.00,0.00,0.00,10.00,0.00,strategy,85.00
backtest\profit_attribution.py,10.00,0.00,20.00,40.00,0.00,0.00,5.00,10.00,85.00,contrib,85.00
backtest\utils.py,15.00,0.00,85.00,5.00,0.00,0.00,0.00,10.00,0.00,strategy,85.00
backtest\position.py,5.00,0.00,90.00,2.00,0.00,0.00,0.00,3.00,0.00,strategy,90.00
backtest\__init__.py,0.00,0.00,5.00,90.00,0.00,0.00,0.00,3.00,2.00,workflow,90.00
backtest\executor.py,0.00,0.00,10.00,5.00,0.00,0.00,0.00,5.00,0.00,None,10.00
contrib\data\utils\__init__.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
contrib\data\utils\sepdf.py,85.00,0.00,0.00,2.00,0.00,1.00,0.00,10.00,2.00,data,85.00
contrib\data\__init__.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
contrib\data\loader.py,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,data,98.00
contrib\data\data.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,4.00,data,95.00
contrib\data\highfreq_handler.py,95.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,4.00,data,95.00
contrib\data\processor.py,95.00,0.00,0.00,3.00,0.00,1.00,0.00,1.00,0.00,data,95.00
contrib\data\highfreq_processor.py,95.00,0.00,0.00,2.00,0.00,1.00,0.00,1.00,1.00,data,95.00
contrib\data\dataset.py,95.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,data,95.00
contrib\data\handler.py,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,data,70.00
contrib\data\highfreq_provider.py,85.00,0.00,0.00,5.00,0.00,2.00,0.00,3.00,5.00,data,85.00
contrib\eva\__init__.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
contrib\eva\alpha.py,0.00,0.00,5.00,10.00,0.00,0.00,0.00,5.00,80.00,contrib,80.00
contrib\meta\data_selection\model.py,10.00,85.00,0.00,3.00,0.00,0.00,0.00,1.00,1.00,model,85.00
contrib\meta\data_selection\__init__.py,85.00,10.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,data,85.00
contrib\meta\data_selection\dataset.py,10.00,25.00,0.00,85.00,0.00,0.00,0.00,10.00,15.00,workflow,85.00
contrib\meta\data_selection\utils.py,0.00,90.00,5.00,0.00,0.00,0.00,0.00,3.00,2.00,model,90.00
