file_path,backends,bin,concurrency,contrib,events,fixups,loaders,security,utils,worker,best_module,best_likelihood
app\control.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,worker,100.00
app\defaults.py,0.00,0.00,0.00,0.00,0.00,0.00,90.00,0.00,0.00,0.00,loaders,90.00
app\builtins.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,20.00,None,20.00
app\backends.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,95.00
app\registry.py,0.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00,0.00,0.00,loaders,85.00
app\base.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
app\routes.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,utils,100.00
app\amqp.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,worker,80.00
app\events.py,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,0.00,0.00,events,95.00
app\task.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,worker,80.00
app\log.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00,utils,60.00
app\trace.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,worker,95.00
app\autoretry.py,5.00,5.00,10.00,15.00,5.00,5.00,5.00,5.00,15.00,40.00,None,40.00
app\annotations.py,0.00,0.00,0.00,0.00,0.00,0.00,80.00,0.00,10.00,0.00,loaders,80.00
app\utils.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,utils,95.00
app\__init__.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,utils,100.00
apps\__init__.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
apps\beat.py,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,100.00
apps\worker.py,0.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,bin,85.00
apps\multi.py,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,worker,70.00
backends\database\session.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00,utils,85.00
backends\database\__init__.py,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,100.00
backends\database\models.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,95.00
backends\consul.py,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,100.00
backends\base.py,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,100.00
backends\elasticsearch.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,95.00
backends\arangodb.py,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,100.00
backends\cassandra.py,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,100.00
backends\cache.py,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,100.00
backends\couchdb.py,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,100.00
backends\couchbase.py,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,100.00
backends\cosmosdbsql.py,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,100.00
backends\dynamodb.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,95.00
backends\azureblockblob.py,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,100.00
backends\mongodb.py,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,100.00
backends\redis.py,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,100.00
backends\filesystem.py,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,100.00
backends\gcs.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,95.00
backends\s3.py,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,100.00
backends\asynchronous.py,0.00,0.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,concurrency,80.00
backends\rpc.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,95.00
backends\__init__.py,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,100.00
bin\control.py,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,bin,95.00
bin\logtool.py,0.00,95.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,bin,95.00
bin\celery.py,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,100.00
bin\list.py,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,95.00
bin\amqp.py,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,100.00
bin\graph.py,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,bin,95.00
bin\events.py,0.00,85.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,bin,85.00
bin\base.py,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,95.00
bin\multi.py,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,100.00
bin\call.py,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,100.00
bin\migrate.py,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,95.00
bin\beat.py,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,95.00
bin\result.py,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,100.00
bin\__init__.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
bin\purge.py,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,100.00
bin\shell.py,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,100.00
bin\worker.py,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,90.00
bin\upgrade.py,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,95.00
concurrency\solo.py,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,concurrency,100.00
concurrency\__init__.py,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,concurrency,95.00
concurrency\thread.py,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,concurrency,90.00
concurrency\base.py,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,concurrency,95.00
concurrency\eventlet.py,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,concurrency,95.00
concurrency\gevent.py,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,concurrency,95.00
concurrency\asynpool.py,0.00,0.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,concurrency,85.00
concurrency\prefork.py,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,concurrency,90.00
contrib\django\__init__.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
contrib\django\task.py,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,contrib,95.00
contrib\testing\worker.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,worker,85.00
contrib\testing\manager.py,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,4.00,1.00,contrib,95.00
contrib\testing\__init__.py,5.00,5.00,5.00,10.00,5.00,5.00,5.00,5.00,10.00,5.00,None,10.00
contrib\testing\app.py,0.00,0.00,0.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,contrib,80.00
