file_path,client,prompts,resources,server,tools,utilities,best_module,best_likelihood
fastmcp_slim\fastmcp\cli\cli.py,10.00,0.00,0.00,20.00,0.00,70.00,utilities,70.00
fastmcp_slim\fastmcp\cli\__init__.py,0.00,0.00,0.00,0.00,0.00,100.00,utilities,100.00
fastmcp_slim\fastmcp\client\__init__.py,0.00,0.00,0.00,0.00,0.00,100.00,utilities,100.00
fastmcp_slim\fastmcp\client\roots.py,95.00,0.00,0.00,0.00,0.00,5.00,client,95.00
fastmcp_slim\fastmcp\client\logging.py,0.00,0.00,0.00,0.00,0.00,95.00,utilities,95.00
fastmcp_slim\fastmcp\client\client.py,95.00,0.00,0.00,0.00,0.00,0.00,client,95.00
fastmcp_slim\fastmcp\prompts\__init__.py,0.00,85.00,0.00,0.00,0.00,0.00,prompts,85.00
fastmcp_slim\fastmcp\resources\types.py,0.00,0.00,100.00,0.00,0.00,0.00,resources,100.00
fastmcp_slim\fastmcp\resources\template.py,0.00,0.00,100.00,0.00,0.00,0.00,resources,100.00
fastmcp_slim\fastmcp\resources\__init__.py,0.00,0.00,100.00,0.00,0.00,0.00,resources,100.00
fastmcp_slim\fastmcp\server\http.py,0.00,0.00,0.00,85.00,0.00,0.00,server,85.00
fastmcp_slim\fastmcp\server\dependencies.py,0.00,0.00,0.00,0.00,0.00,100.00,utilities,100.00
fastmcp_slim\fastmcp\server\server.py,0.00,0.00,0.00,85.00,0.00,0.00,server,85.00
fastmcp_slim\fastmcp\server\context.py,0.00,1.00,3.00,80.00,1.00,15.00,server,80.00
fastmcp_slim\fastmcp\server\__init__.py,0.00,0.00,0.00,0.00,0.00,100.00,utilities,100.00
fastmcp_slim\fastmcp\tools\__init__.py,0.00,0.00,0.00,0.00,90.00,0.00,tools,90.00
fastmcp_slim\fastmcp\utilities\json_schema.py,0.00,0.00,0.00,0.00,0.00,90.00,utilities,90.00
fastmcp_slim\fastmcp\utilities\__init__.py,0.00,0.00,0.00,0.00,0.00,100.00,utilities,100.00
fastmcp_slim\fastmcp\utilities\tests.py,40.00,0.00,0.00,30.00,0.00,30.00,None,40.00
fastmcp_slim\fastmcp\utilities\types.py,0.00,0.00,0.00,0.00,0.00,95.00,utilities,95.00
fastmcp_slim\fastmcp\utilities\logging.py,0.00,0.00,0.00,0.00,0.00,100.00,utilities,100.00
