file_path,cli,client,resources,server,tools,utilities,best_module,best_likelihood
fastmcp_slim\fastmcp\cli\__init__.py,100.00,0.00,0.00,0.00,0.00,0.00,cli,100.00
fastmcp_slim\fastmcp\cli\cli.py,95.00,0.00,0.00,0.00,0.00,0.00,cli,95.00
fastmcp_slim\fastmcp\client\__init__.py,5.00,3.00,2.00,3.00,2.00,85.00,utilities,85.00
fastmcp_slim\fastmcp\client\roots.py,0.00,90.00,0.00,0.00,0.00,0.00,client,90.00
fastmcp_slim\fastmcp\client\logging.py,5.00,15.00,5.00,15.00,5.00,55.00,utilities,55.00
fastmcp_slim\fastmcp\client\client.py,0.00,90.00,0.00,0.00,0.00,0.00,client,90.00
fastmcp_slim\fastmcp\prompts\__init__.py,0.00,0.00,0.00,60.00,0.00,40.00,server,60.00
fastmcp_slim\fastmcp\resources\__init__.py,0.00,0.00,95.00,0.00,0.00,0.00,resources,95.00
fastmcp_slim\fastmcp\resources\template.py,0.00,0.00,100.00,0.00,0.00,0.00,resources,100.00
fastmcp_slim\fastmcp\resources\types.py,0.00,0.00,100.00,0.00,0.00,0.00,resources,100.00
fastmcp_slim\fastmcp\server\dependencies.py,0.00,1.00,1.00,10.00,3.00,85.00,utilities,85.00
fastmcp_slim\fastmcp\server\server.py,0.00,0.00,0.00,85.00,0.00,0.00,server,85.00
fastmcp_slim\fastmcp\server\__init__.py,0.00,0.00,0.00,0.00,0.00,85.00,utilities,85.00
fastmcp_slim\fastmcp\server\context.py,0.00,1.00,1.00,85.00,3.00,10.00,server,85.00
fastmcp_slim\fastmcp\server\http.py,0.00,0.00,0.00,85.00,0.00,0.00,server,85.00
fastmcp_slim\fastmcp\tools\__init__.py,0.00,0.00,0.00,0.00,85.00,15.00,tools,85.00
fastmcp_slim\fastmcp\utilities\__init__.py,0.00,0.00,0.00,0.00,0.00,100.00,utilities,100.00
fastmcp_slim\fastmcp\utilities\logging.py,0.00,0.00,0.00,0.00,0.00,100.00,utilities,100.00
fastmcp_slim\fastmcp\utilities\types.py,0.00,0.00,0.00,0.00,0.00,95.00,utilities,95.00
fastmcp_slim\fastmcp\utilities\tests.py,5.00,15.00,0.00,70.00,0.00,10.00,server,70.00
fastmcp_slim\fastmcp\utilities\json_schema.py,0.00,2.00,1.00,1.00,1.00,95.00,utilities,95.00
