file_path,app,bin,concurrency,contrib,events,fixups,loaders,security,utils,worker,best_module,best_likelihood
app\routes.py,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,app,98.00
app\events.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,app,95.00
app\defaults.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.00,0.00,utils,98.00
app\autoretry.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
app\control.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,worker,95.00
app\builtins.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,app,95.00
app\registry.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,app,95.00
app\amqp.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
app\log.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
app\annotations.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,app,95.00
app\backends.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00,utils,85.00
app\base.py,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,app,98.00
app\__init__.py,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,app,98.00
app\utils.py,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,utils,95.00
app\task.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
app\trace.py,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,app,98.00
apps\beat.py,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,98.00
apps\__init__.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00,utils,60.00
apps\multi.py,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,98.00
apps\worker.py,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,98.00
backends\database\models.py,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,contrib,95.00
backends\database\__init__.py,0.00,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,contrib,90.00
backends\database\session.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
backends\cassandra.py,0.00,0.00,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,contrib,98.00
backends\azureblockblob.py,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,contrib,95.00
backends\consul.py,0.00,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,contrib,90.00
backends\elasticsearch.py,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,contrib,95.00
backends\arangodb.py,0.00,0.00,0.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,contrib,85.00
backends\cosmosdbsql.py,0.00,0.00,0.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,contrib,85.00
backends\couchdb.py,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,contrib,95.00
backends\dynamodb.py,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,contrib,95.00
backends\base.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00,utils,85.00
backends\asynchronous.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.00,0.00,utils,75.00
backends\cache.py,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,app,85.00
backends\gcs.py,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,contrib,95.00
backends\__init__.py,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,app,85.00
backends\mongodb.py,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,contrib,95.00
backends\filesystem.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00,utils,85.00
backends\s3.py,0.00,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,contrib,90.00
backends\redis.py,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,app,85.00
backends\rpc.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,worker,85.00
backends\couchbase.py,0.00,0.00,0.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,contrib,80.00
bin\list.py,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,99.00
bin\migrate.py,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,98.00
bin\beat.py,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,98.00
bin\call.py,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,98.00
bin\events.py,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,98.00
bin\graph.py,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,98.00
bin\amqp.py,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,95.00
bin\celery.py,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,99.00
bin\base.py,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,98.00
bin\control.py,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,98.00
bin\multi.py,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,98.00
bin\purge.py,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,98.00
bin\logtool.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
bin\result.py,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,98.00
bin\upgrade.py,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,98.00
bin\shell.py,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,98.00
bin\__init__.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,None,15.00
bin\worker.py,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,98.00
concurrency\thread.py,0.00,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,concurrency,98.00
concurrency\eventlet.py,0.00,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,concurrency,98.00
concurrency\solo.py,0.00,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,concurrency,98.00
concurrency\gevent.py,0.00,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,concurrency,98.00
concurrency\__init__.py,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,concurrency,95.00
concurrency\prefork.py,0.00,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,concurrency,98.00
concurrency\asynpool.py,0.00,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,concurrency,98.00
concurrency\base.py,0.00,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,concurrency,98.00
contrib\django\task.py,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,contrib,95.00
contrib\django\__init__.py,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,None,30.00
contrib\testing\__init__.py,0.00,0.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,contrib,60.00
contrib\testing\mocks.py,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,contrib,95.00
