file_path,datasets,environments,robot_devices,utilities,configs,best_module,best_likelihood
src\lerobot\async_inference\constants.py,0.00,85.00,0.00,0.00,0.00,environments,85.00
src\lerobot\configs\eval.py,0.00,0.00,0.00,0.00,95.00,configs,95.00
src\lerobot\configs\types.py,0.00,0.00,0.00,85.00,0.00,utilities,85.00
src\lerobot\configs\train.py,0.00,0.00,0.00,0.00,98.00,configs,98.00
src\lerobot\configs\default.py,0.00,0.00,0.00,0.00,95.00,configs,95.00
src\lerobot\configs\policies.py,0.00,0.00,0.00,0.00,0.00,None,0.00
src\lerobot\configs\parser.py,0.00,0.00,0.00,5.00,95.00,configs,95.00
src\lerobot\datasets\factory.py,98.00,0.00,0.00,0.00,0.00,datasets,98.00
src\lerobot\datasets\sampler.py,95.00,0.00,0.00,4.00,0.00,datasets,95.00
src\lerobot\datasets\image_writer.py,0.00,0.00,0.00,95.00,0.00,utilities,95.00
src\lerobot\datasets\compute_stats.py,0.00,0.00,0.00,0.00,0.00,None,0.00
src\lerobot\datasets\utils.py,95.00,0.00,0.00,0.00,0.00,datasets,95.00
src\lerobot\datasets\video_utils.py,95.00,0.00,0.00,0.00,0.00,datasets,95.00
src\lerobot\datasets\lerobot_dataset.py,98.00,0.00,0.00,0.00,0.00,datasets,98.00
src\lerobot\envs\__init__.py,0.00,85.00,0.00,0.00,0.00,environments,85.00
src\lerobot\envs\configs.py,0.00,0.00,0.00,0.00,98.00,configs,98.00
src\lerobot\envs\utils.py,0.00,95.00,0.00,0.00,0.00,environments,95.00
src\lerobot\envs\factory.py,0.00,0.00,0.00,0.00,0.00,None,0.00
src\lerobot\policies\act\configuration_act.py,0.00,0.00,0.00,0.00,0.00,None,0.00
src\lerobot\policies\act\modeling_act.py,0.00,0.00,0.00,78.00,0.00,utilities,78.00
src\lerobot\policies\diffusion\configuration_diffusion.py,0.00,0.00,0.00,0.00,0.00,None,0.00
src\lerobot\policies\diffusion\modeling_diffusion.py,0.00,0.00,0.00,84.00,0.00,utilities,84.00
src\lerobot\policies\pi0\configuration_pi0.py,0.00,0.00,0.00,0.00,98.00,configs,98.00
src\lerobot\policies\pi0\modeling_pi0.py,0.00,0.00,0.00,75.00,0.00,utilities,75.00
src\lerobot\policies\tdmpc\configuration_tdmpc.py,0.00,0.00,0.00,0.00,98.00,configs,98.00
src\lerobot\policies\tdmpc\modeling_tdmpc.py,0.00,0.00,0.00,78.00,0.00,utilities,78.00
src\lerobot\policies\vqbet\configuration_vqbet.py,0.00,0.00,0.00,0.00,98.00,configs,98.00
src\lerobot\policies\vqbet\vqbet_utils.py,0.00,0.00,0.00,65.00,0.00,utilities,65.00
src\lerobot\policies\vqbet\modeling_vqbet.py,5.00,2.00,1.00,87.00,5.00,utilities,87.00
src\lerobot\policies\__init__.py,0.00,0.00,0.00,0.00,95.00,configs,95.00
src\lerobot\policies\utils.py,0.00,0.00,0.00,95.00,0.00,utilities,95.00
src\lerobot\policies\factory.py,0.00,0.00,0.00,0.00,0.00,None,0.00
src\lerobot\policies\pretrained.py,0.00,0.00,0.00,95.00,0.00,utilities,95.00
src\lerobot\utils\hub.py,0.00,0.00,0.00,84.00,0.00,utilities,84.00
src\lerobot\utils\utils.py,0.00,0.00,0.00,95.00,0.00,utilities,95.00
src\lerobot\utils\random_utils.py,0.00,0.00,0.00,98.00,0.00,utilities,98.00
src\lerobot\utils\io_utils.py,0.00,0.00,0.00,85.00,0.00,utilities,85.00
src\lerobot\utils\logging_utils.py,0.00,0.00,0.00,98.00,0.00,utilities,98.00
src\lerobot\utils\constants.py,0.00,0.00,0.00,0.00,0.00,None,0.00
src\lerobot\utils\import_utils.py,0.00,0.00,0.00,95.00,0.00,utilities,95.00
